age,income,education_level,marital_status,weekly_hours,children,housing_status,credit_score
56.0,40250.40182204795,High School,Married,57,,Rent,465.2357291281237
69.0,64058.35432302274,Master,Married,58,,Own,556.4206584762861
46.0,47575.613818062935,,Single,25,1.0,Rent,566.2330683526903
32.0,29880.8799347257,Bachelor,Single,59,1.0,Rent,643.3205573782628
60.0,28608.117009960544,Bachelor,Divorced,31,4.0,Rent,430.39384740840904
25.0,59092.476359171844,Bachelor,Divorced,33,,Rent,793.6040909789468
38.0,27698.438259494957,PhD,Married,29,1.0,Other,564.5848218982345
56.0,54746.39109573625,High School,Divorced,39,,Rent,629.03954032108
36.0,56669.82778500439,High School,Divorced,34,0.0,Own,526.0335116637557
40.0,35069.669541139745,Master,Married,50,,Other,647.1301500385026
28.0,63361.071256623356,High School,Married,26,,Other,934.244231888126
28.0,24233.095643575518,High School,Married,29,3.0,Rent,524.1762314774146
41.0,54446.88400997838,High School,Married,29,,Own,491.1007291160626
53.0,49387.130996059874,High School,Single,58,,Own,867.9377780089271
57.0,48215.0303640366,Bachelor,Married,47,,Other,588.0756300633742
41.0,32331.550355291412,High School,Married,49,0.0,Own,585.759263946057
20.0,35944.66993400111,Master,Married,56,4.0,Rent,610.2886029196363
39.0,74282.03037530897,Master,Divorced,22,1.0,Rent,693.6511759472631
19.0,68227.3251330763,Bachelor,Married,34,,Rent,668.4336214094812
41.0,61131.268827856984,,Single,40,,Rent,595.4957036934586
61.0,64097.72155294532,,Single,56,,Rent,990.7603136077823
,62690.20317006903,High School,Married,31,,Other,738.1360568184143
55.0,45149.65681570687,Master,Single,23,3.0,Rent,382.1480114318677
19.0,50714.05327721527,Master,Divorced,28,2.0,Rent,290.95960284754796
38.0,27912.374329384867,Master,Married,58,,Other,460.87017489311665
50.0,48654.56559788711,,Single,47,,Other,630.5316760100255
29.0,67751.2137430878,High School,Single,42,,Other,444.1000688064431
39.0,40089.39127614297,Bachelor,Married,59,1.0,Own,474.4745510386895
61.0,65347.118070308396,Master,Single,41,3.0,Own,605.2134077152969
42.0,51373.78608040645,High School,Married,43,,Rent,531.6054682227445
