latitud,longitud,area_construida,area_total,dormitorios,baños,estacionamiento,bodega,piscina,quincho,precio_uf,comuna,distancia_a_estacion_cercana,estacion_cercana,metro
-33.2860411,-70.8946749,50,120,3,1,No,No,No,No,1010.26,LAMPA,21898.81094,No metro,No
-33.280238,-70.885977,103,243,3,3,No,No,No,No,827.24,LAMPA,21316.06967,No metro,No
-33.280178,-70.885673,46,166,3,2,No,No,No,No,1144,LAMPA,21290.61472,No metro,No
-33.279629,-70.885345,103,90,5,2,Si,Si,Si,Si,741.235,LAMPA,21282.65947,No metro,No
-33.2809964,-70.8827818,70,90,3,1,Si,Si,Si,Si,888.615,LAMPA,20992.96901,No metro,No
-33.2870147,-70.8848462,50,129,3,1,No,No,No,No,789.4,LAMPA,20949.28525,No metro,No
-33.2828477,-70.8826475,76,73,3,1,Si,Si,Si,Si,888.615,LAMPA,20906.79794,No metro,No
-33.281844,-70.881747,50,72,3,1,Si,Si,Si,Si,942.47,LAMPA,20864.15511,No metro,No
-33.2845352,-70.8815088,51,130,3,1,Si,Si,Si,Si,1198.28,LAMPA,20735.78281,No metro,No
-33.2853156,-70.8809131,55,195,2,1,No,No,No,No,1149.55,LAMPA,20650.52718,No metro,No
-33.285384,-70.880893,55,195,3,2,No,No,No,No,1001.67,LAMPA,20646.01971,No metro,No
-33.293859,-70.882925,54,158,3,2,No,No,No,No,1219.66,LAMPA,20522.45294,No metro,No
-33.2887426,-70.8808469,112,114,5,1,Si,Si,Si,Si,1023.25,LAMPA,20513.75054,No metro,No
-33.2888013,-70.8807772,114,114,5,1,Si,Si,Si,Si,1023.25,LAMPA,20505.09064,No metro,No
-33.294134,-70.882359,54,152,3,1,No,No,No,No,1393.26,LAMPA,20459.81463,No metro,No
-33.2918707,-70.8805032,60,73,4,1,Si,Si,Si,Si,605.875,LAMPA,20366.7183,No metro,No
-33.2956779,-70.8817765,65,175,3,1,Si,Si,Si,Si,1475,LAMPA,20351.7503,No metro,No
-33.2918616,-70.879717,100,82,4,1,Si,Si,Si,Si,740.51,LAMPA,20293.76584,No metro,No
-33.2917323,-70.8794871,70,85,4,1,Si,Si,Si,Si,605.875,LAMPA,20277.04483,No metro,No
-33.2978714,-70.881529,88,298,2,1,No,No,No,No,2010.25,LAMPA,20254.21197,No metro,No
-33.288346,-70.876965,49,146,2,1,No,No,No,No,1087.42,LAMPA,20169.42067,No metro,No
-33.2974561,-70.8782344,150,230,5,4,Si,Si,Si,Si,2261.925,LAMPA,19958.08422,No metro,No
